From Date,To Date,T,TM,Tm,SLP,H,PP,VV,V,VM
1-may-2015-00:00,2-may-2015-00:00,31.2,39.4,24.2,1005.8,52,-,2.7,5.4,14.8,
2-may-2015-00:00,3-may-2015-00:00,30.2,37.6,23.6,1006.3,47,0.25,2.6,4.4,11.1,
3-may-2015-00:00,4-may-2015-00:00,30.9,38.9,21.7,1006.7,44,0,2.7,3,11.1,
4-may-2015-00:00,5-may-2015-00:00,30.8,39.5,22,1006.6,43,0,4.2,3.9,13,
5-may-2015-00:00,6-may-2015-00:00,32.3,40.8,21.3,1004.1,34,0,2.6,7.6,20.6,
6-may-2015-00:00,7-may-2015-00:00,34.2,42.7,24.5,1002,27,0,2.7,11.3,22.2,
7-may-2015-00:00,8-may-2015-00:00,35.7,42.7,27.6,1003.4,21,0,1.9,14.4,27.8,
8-may-2015-00:00,9-may-2015-00:00,34.1,42.7,27,1003.2,29,0,1.9,12.2,27.8,
9-may-2015-00:00,10-may-2015-00:00,35.1,42.7,25.7,1001.6,35,0,2.3,8.3,18.3,
10-may-2015-00:00,11-may-2015-00:00,35.1,42.6,26.2,1001.4,33,0,2.3,6.9,14.8,
11-may-2015-00:00,12-may-2015-00:00,34.4,42.3,28.2,1003.5,40,0,1.9,10.4,27.8,
12-may-2015-00:00,13-may-2015-00:00,33.1,39.8,26,1004.9,54,0,1.9,5.9,11.1,
13-may-2015-00:00,14-may-2015-00:00,28.3,38.7,23.8,1006.5,65,2.03,2.4,7.8,14.8,
14-may-2015-00:00,15-may-2015-00:00,29.9,35.9,22,1007.4,56,0,2.6,4.4,11.1,
15-may-2015-00:00,16-may-2015-00:00,28.7,35.8,24.2,1006.5,58,0.51,1.9,7,18.3,
16-may-2015-00:00,17-may-2015-00:00,30.1,37,22,1003.5,58,0,1.9,4.3,11.1,
17-may-2015-00:00,18-may-2015-00:00,33.2,40.3,24.8,1001.1,47,0,2.7,8.3,11.1,
18-may-2015-00:00,19-may-2015-00:00,35.6,42.4,28.1,1000,43,0,2.6,5.6,11.1,
19-may-2015-00:00,20-may-2015-00:00,31.4,41.5,24.9,1002.2,50,0,1.8,14.8,50,
20-may-2015-00:00,21-may-2015-00:00,33.2,41.5,22.4,1002,38,0,2.4,14.6,22.2,
21-may-2015-00:00,22-may-2015-00:00,35.8,42.6,27,1000.4,30,0,2.6,11.3,24.1,
22-may-2015-00:00,23-may-2015-00:00,36.3,43.6,27,998.2,26,0,2.7,12.4,18.3,
23-may-2015-00:00,24-may-2015-00:00,37.3,44.5,29.3,996.2,29,0,2.7,12.8,22.2,
24-may-2015-00:00,25-may-2015-00:00,36.2,44.5,27.5,997.3,36,0,2.3,5.2,14.8,
25-may-2015-00:00,26-may-2015-00:00,37.8,45.5,28,996.7,29,0,2.6,10.9,22.2,
26-may-2015-00:00,27-may-2015-00:00,35.3,45.5,24.4,999.2,33,-,2.3,17,55.4,
27-may-2015-00:00,28-may-2015-00:00,33.8,45,24.8,1001.3,26,0,2.6,6.7,18.3,
28-may-2015-00:00,29-may-2015-00:00,35.1,41.1,29,1000.3,37,0,1.9,8,31.7,
29-may-2015-00:00,30-may-2015-00:00,35.1,42,27,1001.9,35,0,1.9,8,14.8,
30-may-2015-00:00,31-may-2015-00:00,35.3,42.6,27.6,1001.8,36,0,1.9,9.6,25.9,
31-may-2015-00:00,32-may-2015-00:00,35.3,40.6,28.9,1000.7,30,0,1.9,15.2,27.8,
1-june-2015-00:00,2-june-2015-00:00,30.1,40.6,23.5,1002.2,47,0,1.9,14.3,29.4,
2-june-2015-00:00,3-june-2015-00:00,31.6,39.9,22.2,1003.4,46,3.05,1.9,8.5,20.6,
3-june-2015-00:00,4-june-2015-00:00,28.7,34.1,23.6,1004.3,59,0.51,1.9,6.7,11.1,
4-june-2015-00:00,5-june-2015-00:00,31.8,38.6,23.7,1004.1,55,0,1.9,4.8,13,
5-june-2015-00:00,6-june-2015-00:00,32.8,38.8,26,1003.5,47,0,1.9,5.9,18.3,
6-june-2015-00:00,7-june-2015-00:00,33.3,38.8,25.8,1001.3,45,0,2.3,7.8,18.3,
7-june-2015-00:00,8-june-2015-00:00,35.1,42.5,26,999.4,42,0,2.6,7.2,16.5,
8-june-2015-00:00,9-june-2015-00:00,36.3,42.9,27.7,998.7,38,0,2.6,6.3,22.2,
