From Date,To Date,PM10 (ug/m3),PM2.5 (ug/m3),CO (mg/m3),NH3 (ug/m3),NO2 (ug/m3),Ozone (ug/m3),SO2 (ug/m3),Air_Quality_Index(AQI),AQI Category
01-May-2015 - 00:00,02-May-2015 - 00:00,259.55,191.22,1.57,18.61,52.43,15.23,17.94,354,4
02-May-2015 - 00:00,03-May-2015 - 00:00,333.27,143.1,1.92,21.94,95.4,18.24,20.54,317,4
03-May-2015 - 00:00,04-May-2015 - 00:00,492.02,228.23,4.48,28.74,99.5,15.61,21.84,500,4
04-May-2015 - 00:00,05-May-2015 - 00:00,551.11,184.87,2.21,29.88,97.38,11.15,19.59,500,4
05-May-2015 - 00:00,06-May-2015 - 00:00,597.68,276.74,3.26,41.65,126.5,13.98,26.99,500,4
06-May-2015 - 00:00,07-May-2015 - 00:00,588.28,322.66,2.14,38.71,111.82,12.66,25.01,500,4
07-May-2015 - 00:00,08-May-2015 - 00:00,643.02,177.75,1.89,30.52,86.85,12.99,23.38,500,4
08-May-2015 - 00:00,09-May-2015 - 00:00,570.76,98.35,2.18,25.8,88.63,13.33,23.02,500,4
09-May-2015 - 00:00,10-May-2015 - 00:00,535.37,176.1,1.85,30.67,70.56,11.32,14.87,500,4
10-May-2015 - 00:00,11-May-2015 - 00:00,544.99,157.17,1.89,31.5,62.25,13.36,16.42,500,4
11-May-2015 - 00:00,12-May-2015 - 00:00,512.43,127.58,1.82,36.98,27.58,12.92,14.93,500,4
12-May-2015 - 00:00,13-May-2015 - 00:00,389.78,148.72,1.47,35.5,23.74,13.13,13.81,348,4
13-May-2015 - 00:00,14-May-2015 - 00:00,263.45,126.14,1.87,34.18,27.33,14.46,17.17,304,4
14-May-2015 - 00:00,15-May-2015 - 00:00,454.93,208.85,2.07,37.43,47.62,10.13,15.68,500,4
15-May-2015 - 00:00,16-May-2015 - 00:00,470.81,165.46,1.66,35.42,64.71,46.39,11.33,500,4
16-May-2015 - 00:00,17-May-2015 - 00:00,365.21,115.16,1.68,1.0,82.32,58.53,21.47,318,4
17-May-2015 - 00:00,18-May-2015 - 00:00,282.94,128.17,1.35,1.0,82.32,38.04,20.32,306,4
18-May-2015 - 00:00,19-May-2015 - 00:00,310.1,93.79,1.73,51.99,82.32,44.79,10.78,260,3
19-May-2015 - 00:00,20-May-2015 - 00:00,403.67,137.1,1.3,20.67,69.13,40.6,10.68,366,4
20-May-2015 - 00:00,21-May-2015 - 00:00,377.54,95.32,1.58,43.42,81.3,29.26,24.03,333,4
21-May-2015 - 00:00,22-May-2015 - 00:00,576.34,130.29,1.78,52.15,96.13,26.15,13.38,500,4
22-May-2015 - 00:00,23-May-2015 - 00:00,481.58,86.52,1.42,28.45,122.78,30.6,11.49,500,4
23-May-2015 - 00:00,24-May-2015 - 00:00,581.82,96.55,1.51,29.7,116.08,25.72,9.5,500,4
24-May-2015 - 00:00,25-May-2015 - 00:00,422.77,121.16,2.11,31.68,131.21,57.85,59.1,389,4
25-May-2015 - 00:00,26-May-2015 - 00:00,549.35,243.94,1.39,37.74,114.03,26.07,22.33,500,4
26-May-2015 - 00:00,27-May-2015 - 00:00,597.48,185.68,1.38,30.56,96.71,33.04,19.84,500,4
27-May-2015 - 00:00,28-May-2015 - 00:00,468.33,136.95,1.8,20.13,139.22,69.74,25.67,500,4
28-May-2015 - 00:00,29-May-2015 - 00:00,976.03,237.58,1.51,41.89,123.42,37.55,18.23,500,4
29-May-2015 - 00:00,30-May-2015 - 00:00,562.15,204.33,1.22,43.57,110.69,37.12,20.65,500,4
30-May-2015 - 00:00,31-May-2015 - 00:00,607.36,177.02,1.25,50.78,129.67,33.92,20.93,500,4
31-May-2015 - 00:00,01-Jun-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
01-Jun-2015 - 00:00,02-Jun-2015 - 00:00,377.71,87.82,1.13,26.5,103.97,37.59,22.34,333,4
02-Jun-2015 - 00:00,03-Jun-2015 - 00:00,222.89,109.09,1.03,39.46,103.52,45.26,8.77,262,3
03-Jun-2015 - 00:00,04-Jun-2015 - 00:00,240.16,100.13,1.47,51.84,96.03,21.84,11.38,231,3
04-Jun-2015 - 00:00,05-Jun-2015 - 00:00,259.08,138.29,0.9,48.44,78.5,31.81,6.49,314,4
05-Jun-2015 - 00:00,06-Jun-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
06-Jun-2015 - 00:00,07-Jun-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
07-Jun-2015 - 00:00,08-Jun-2015 - 00:00,333.79,99.3,1.38,47.49,142.57,20.02,22.06,283,3
08-Jun-2015 - 00:00,09-Jun-2015 - 00:00,539.27,193.63,1.39,58.67,168.52,25.7,14.27,500,4
09-Jun-2015 - 00:00,10-Jun-2015 - 00:00,611.62,162.87,1.15,36.91,118.92,12.1,10.11,500,4
10-Jun-2015 - 00:00,11-Jun-2015 - 00:00,433.56,104.19,0.65,65.11,53.69,3.05,9.25,500,4
11-Jun-2015 - 00:00,12-Jun-2015 - 00:00,392.86,124.32,2.01,51.99,82.32,24.385,18.98,352,4
12-Jun-2015 - 00:00,13-Jun-2015 - 00:00,664.86,256.36,1.89,35.14,126.25,6.87,13.13,500,4
13-Jun-2015 - 00:00,14-Jun-2015 - 00:00,423.94,93.04,1.21,49.82,81.71,16.79,9.04,391,4
14-Jun-2015 - 00:00,15-Jun-2015 - 00:00,169.8,83.58,1.43,70.75,90.67,38.02,9.59,176,2
15-Jun-2015 - 00:00,16-Jun-2015 - 00:00,455.23,117.22,1.77,73.8,137.95,22.63,10.45,500,4
16-Jun-2015 - 00:00,17-Jun-2015 - 00:00,599.55,183.79,1.46,84.53,108.04,39.21,9.22,500,4
17-Jun-2015 - 00:00,18-Jun-2015 - 00:00,559.1,159.54,1.38,68.91,142.89,40.5,10.15,500,4
18-Jun-2015 - 00:00,19-Jun-2015 - 00:00,444.31,182.52,1.27,86.05,120.38,29.16,17.41,500,4
19-Jun-2015 - 00:00,20-Jun-2015 - 00:00,411.95,122.68,1.08,62.57,68.23,14.25,16.34,376,4
20-Jun-2015 - 00:00,21-Jun-2015 - 00:00,495.2,138.48,1.09,33.67,82.97,36.46,68.87,500,4
21-Jun-2015 - 00:00,22-Jun-2015 - 00:00,123.0,72.15,2.05,45.41,77.95,29.26,13.76,138,2
22-Jun-2015 - 00:00,23-Jun-2015 - 00:00,233.9,129.04,1.0,41.13,64.11,47.1,12.16,307,4
23-Jun-2015 - 00:00,24-Jun-2015 - 00:00,369.68,165.92,1.25,32.43,85.76,57.93,17.61,334,4
24-Jun-2015 - 00:00,25-Jun-2015 - 00:00,322.4,143.73,1.19,87.63,95.14,94.7,17.97,317,4
25-Jun-2015 - 00:00,26-Jun-2015 - 00:00,98.28,50.37,1.22,45.67,70.21,62.6,14.6,98,1
26-Jun-2015 - 00:00,27-Jun-2015 - 00:00,374.62,101.42,0.96,48.46,82.27,73.94,13.26,329,4
27-Jun-2015 - 00:00,28-Jun-2015 - 00:00,391.91,78.54,1.09,45.08,78.75,55.61,13.35,351,4
28-Jun-2015 - 00:00,29-Jun-2015 - 00:00,413.58,97.29,0.99,48.58,77.16,52.59,13.39,378,4
